Record ID,Age,Kindly indicate your gender,What is your current marital status?,Educational level completed,Kindly Specify,Number of child dependents in the household below 18 years,Which region do you work in?,What type of facility are you primarily stationed at?,What is your current job role?,Select the unit within the hospital that most closely matches the job that you do,Kindly indicate the professional group you belong to,How many days in the previous month did you have any direct patient contact (touching or speaking in-person)?,What is your current engagement type with the hospital?,For how many years have you been seeing patients as a professional?,"Have you previously worked in a clinical setting during an acute respiratory epidemic or pandemic, for example, H1N1 (2009)?","In a clinical setting, did you personally care for patients with suspected or confirmed infection caused by a novel respiratory pathogen for example, H1N1?",Has a patient with suspected or confirmed COVID-19 attended the hospital in which you work?,Have you personally cared for a patient with suspected or confirmed COVID-19 infection? ,What was your most recent type of contact with a suspected/confirmed COVID-19 case?,I am confident that the hospital where I work can MANAGE CURRENT patient demand related to COVID-19,I am confident that the hospital where I work can CONTINUE TO MANAGE patient demand related to COVID-19 over the next 3 months,"I have received general training for infection, prevention, and control procedures for communicable diseases",I have received sufficient training in the Infection Prevention and Control (IPC)  practices specifically for COVID-19,I am confident in my ability to correctly don and doff personal protective equipment to prevent transmission of COVID-19 to others and myself,"I am confident that I am able to follow recommended procedures related to personal protective equipment (PPE) for COVID-19 e.g. appropriate use and disposal of gloves, apron and fluid resistant surgical mask",I consider that the implementation of protective procedures at work are effective to prevent the spread of COVID-19 in my hospital,Following the IPC recommendations will protect me from becoming ill with COVID-19,Following recommended IPC procedures adds significant additional strain to my workload,"I will always use the recommended personal protective equipment (medical mask, eye protection, gown and gloves) when taking care of patients with suspected or confirmed COVID-19 when I have access to these",There are clear policies and protocols in my hospital for everyone to follow related to IPC procedures for COVID-19,"I can easily access personal protective equipment (PPE) in line with standard infection control precautions, such as gloves, apron and masks, for COVID-19 in the hospital where I work",In my hospital there are dedicated isolation facilities for patients with COVID-19,"I know who to contact if I have trouble with PPE, or if I have a body fluid exposure/ unprotected contact with a confirmed case of COVID-19","The hospital where I work receives good support from national/ regional/municipal/district/assembly/local public health authorities, who provide guidance and training on how to manage COVID-19","Most of my colleagues regularly follow infection, prevention and control measures (for example, regular hand washing, use of personal protective equipment, proper disposal of equipment)","It is expected that in my role as a healthcare professional, I will follow IPC measures",I am encouraged and supported by other staff to apply recommendedIPC measures,I am concerned about the risk to myself of becoming ill with COVID-19,I am concerned about the risk to my family related to COVID-19 because of my job role,I am afraid of looking after patients who are ill with COVID-19,I accept that the risk of getting COVID-19 is part of my job,Whether I get infected with COVID-19 or not is within my control,The health facility where I work has the capacity to manage COVID-19,The management of the health facility where I work are being honest with staff when managing COVID-19,The management of the health facility where I work would act in the best interest of its staff when managing COVID-19
1795,32,,"Living with another (Married, Partnership)",Other,Tertiary ,1,CENTRAL,CHAG Facility,Allied health professionals,Laboratory,GAML ,Just about one day during each week,Fulltime,6,No,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Strongly agree,,Strongly agree,Strongly agree,Strongly disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree
1796,36,,"Living with another (Married, Partnership)",First Degree,,4,BONO,Regional hospital,Nurse,Surgical Unit,,Almost every day of the month,Fulltime,12,No,No,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree
1797,37,,"Living with another (Married, Partnership)",Diploma,,3,CENTRAL,Health Center (Government),Allied health professionals,Medical Unit,Mental health ,Almost every day of the month,Fulltime,7,No,No,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree
1798,24,,Living alone,First Degree,,1,VOLTA,CHAG Facility,Physician Assistant,OPD,,No more than three days during each week,Voluntary,1,No,No,No,No,,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree
1799,24,,Living alone,First Degree,,0,GREATER ACCRA,Regional hospital,Allied health professionals,Imaging Unit,Allied Health Professions Council,Almost every day of the month,Short-term contract (<13mths),2,No,No,No,No,,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
1800,25,,"Living with another (Married, Partnership)",Diploma,,1,ASHANTI,CHAG Facility,Allied health professionals,Laboratory,Laboratory technician,Almost every day of the month,Fulltime,1,No,No,Yes,No,,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somewhat disagree
1801,34,,"Living with another (Married, Partnership)",Masters,,3,CENTRAL,District hospital,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,10,No,No,Yes,No,,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
1802,65,,"Living with another (Married, Partnership)",First Degree,,4,ASHANTI,Academic (University) hospital,Pharmacist,Pharmacy,,About one day every 2 weeks,Part time,37,Yes,Yes,Yes,No,,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree
1803,31,,Living alone,Diploma,,2,GREATER ACCRA,Health Center (Government),Allied health professionals,Disease Control,ENVIRONMENTAL HEALTH,Almost every day of the month,Casual or locum staff,2,No,No,No,Unsure,,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree
1804,36,,"Living with another (Married, Partnership)",First Degree,,0,GREATER ACCRA,District hospital,Pharmacist,Pharmacy,,No more than three days during each week,Fulltime,1,Yes,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
1805,40,,"Living with another (Married, Partnership)",Diploma,,4,CENTRAL,Health Center (Government),Allied health professionals,OPD,Mental Health,Almost every day of the month,Fulltime,12,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somwhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree
1806,34,,Prefer not to say,First Degree,,2,ASHANTI,CHAG Facility,Allied health professionals,Laboratory,Ghana Association for Biomedical Laboratory Scient,Almost every day of the month,Fulltime,10,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
1807,34,,Living alone,First Degree,,2,ASHANTI,CHAG Facility,Allied health professionals,Laboratory,GHANA ASSOCIATION OF FOR BIOMEDICAL LABORATORY SCI,Almost every day of the month,Fulltime,10,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree
1808,33,,"Living with another (Married, Partnership)",First Degree,,2,AHAFO,District hospital,Physician Assistant,Emergency,,Almost every day of the month,Fulltime,8,No,No,Yes,Unsure,,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
1809,35,,Prefer not to say,First Degree,,3,ASHANTI,CHAG Facility,Allied health professionals,Laboratory,,Almost every day of the month,Fulltime,11,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly disagree
1810,35,,Prefer not to say,First Degree,,3,ASHANTI,CHAG Facility,Allied health professionals,Laboratory,,Almost every day of the month,Fulltime,11,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly disagree
1811,35,,Prefer not to say,First Degree,,3,ASHANTI,CHAG Facility,Allied health professionals,Laboratory,,Almost every day of the month,Fulltime,11,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly disagree
1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,32,,"Living with another (Married, Partnership)",Diploma,,4,CENTRAL,Health Center (Government),Nurse,OPD,,Almost every day of the month,Fulltime,6,No,No,Yes,No,,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree
1814,32,,"Living with another (Married, Partnership)",Diploma,,4,CENTRAL,Health Center (Government),Nurse,OPD,,Almost every day of the month,Fulltime,6,No,No,Yes,No,,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree
1815,31,,Living alone,First Degree,,0,NORTHERN,Health Center (Government),Nurse,OPD,,Almost every day of the month,Fulltime,6,No,No,Yes,No,,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly disagree,Neither agree nor disagree,Somwhat agree
1816,29,,"Living with another (Married, Partnership)",First Degree,,2,EASTERN,Health Center (Government),Medical Doctor,Medical Unit,,Almost every day of the month,Fulltime,3,Yes,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
1817,31,,"Living with another (Married, Partnership)",First Degree,,1,EASTERN,District hospital,Medical Doctor,Obstetrics and Gynecology/ Maternity,,Almost every day of the month,Fulltime,3,No,No,Yes,No,,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somwhat agree
1818,39,,"Living with another (Married, Partnership)",First Degree,,4,GREATER ACCRA,Regional hospital,Pharmacist,Medical Unit,,No more than three days during each week,Prefer not to say,2,No,No,No,No,,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree
1819,26,,Living alone,Masters,,0,WESTERN,CHAG Facility,Nurse,Medical Unit,,Almost every day of the month,Fulltime,2,No,No,No,No,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly agree
1820,34,,Living alone,First Degree,,2,GREATER ACCRA,Teaching hospital,Pharmacist,Pediatric,,No more than three days during each week,Fulltime,8,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree
1821,23,,Living alone,First Degree,,2,AHAFO,Private Clinic,Physician Assistant,OPD,,Almost every day of the month,Part time,1,No,No,No,No,,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree
1822,25,,Prefer not to say,Other,Certificate level,0,NORTHERN,Teaching hospital,Allied health professionals,Obstetrics and Gynecology/ Maternity,Health Records Management,No more than three days during each week,Fulltime,3,No,No,Yes,No,,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1823,24,,Living alone,First Degree,,0,VOLTA,Private Clinic,Allied health professionals,Laboratory,Allied Health Professionals Council,Almost every day of the month,Casual or locum staff,3,Yes,Yes,Unsure,Yes,Unsure,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
1824,28,,Prefer not to say,First Degree,,0,GREATER ACCRA,District hospital,Pharmacist,Pharmacy,,Almost every day of the month,Prefer not to say,7,No,No,No,No,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
1825,24,,Living alone,First Degree,,0,GREATER ACCRA,Private Clinic,Pharmacist,Pharmacy,,Almost every day of the month,Casual or locum staff,2,No,No,No,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1826,32,,"Living with another (Married, Partnership)",First Degree,,1,ASHANTI,Private Hospital,Pharmacist,Pharmacy,,Almost every day of the month,Part time,10,No,No,No,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
